product_name,category,transaction_count,sales_count,refund_count,customer_count
VIP - redbull,Non-Alcoholic,18,20,0,14
VIP -  Absolut Vodka + Juice,Spirits,19,19,0,14
50 Kč,Complimentary,19,19,0,19
Hot dog CHILLI,Salty Snacks,18,18,0,18
Klobouk,Complimentary,16,18,0,15
Jack Daniel´s a Cola plech,,16,17,0,5
Omáčka navíc,,16,17,0,16
"ICE-TEA 0,5l",,14,16,0,10
Rasta copánek 1ks,Complimentary,5,15,0,5
Triko Play collection,Complimentary,14,15,0,13
Havajský věnec,Complimentary,11,15,0,11
Nafukovací kytara,Complimentary,10,13,0,10
Křupačíno,Non-Alcoholic,11,13,0,11
VIP - Absolut vodka + redbull,Spirits,13,13,0,10
VIP - Mimosa,Spirits,12,13,0,9
Sluneční brýle,Complimentary,12,13,0,12
Doner,,12,12,0,11
Turek,Non-Alcoholic,10,12,0,9
Čokoláda,Non-Alcoholic,12,12,0,11
Sada kamínků,Complimentary,10,12,0,10
Tetování malé,Complimentary,6,11,0,4
Kuřecí v žemli,Salty Snacks,11,11,0,11
Masoňky kach.prsa 75g,Complimentary,9,10,0,9
Latte,Non-Alcoholic,9,10,0,8
Trhané na salátu,Salty Snacks,9,9,0,9
Boxerské copánky ze 2 copů,Complimentary,9,9,0,9
Espresso Macchiatto,Non-Alcoholic,8,9,0,8
"Láhvové víno 0,75 l",Wine,9,9,0,3
Baseballová čepice,Complimentary,9,9,0,9
Křuplatté,Non-Alcoholic,8,8,0,8
Cokoliv,,8,8,0,8
Jack Daniel's + Soda,Spirits,7,7,0,7
"Sluneční brýle 200,-",Complimentary,7,7,0,7
přídavek,Non-Alcoholic,7,7,0,7
Mlíko - Prazdroj,Beer,5,7,0,4
Křupespresso,Non-Alcoholic,7,7,0,7
Krabice velká,Complimentary,7,7,0,7
"Bellini 0,15l",Wine,5,7,0,5
Tetování,Complimentary,5,6,0,5
Copánek z vlastních vlasů,Complimentary,3,6,0,3
Durum,,5,6,0,5
Kuřecí na salátu,Salty Snacks,6,6,0,6
VIP - Jagermeister + cola,Spirits,6,6,0,3
"Prosecco 0,1l",,6,6,0,6
Multifunkční šátek,Complimentary,5,6,0,4
Mikina,Complimentary,6,6,0,6
Kolag.kostičky 60g,Complimentary,6,6,0,5
Chai Latte,Non-Alcoholic,4,6,0,4
Kolag.klobásky 3ks,Complimentary,5,6,0,5
VIP - Beefeater dle nabídky,Spirits,5,5,0,4
Ice Latté Macchiato,Non-Alcoholic,5,5,0,5
Copánek na gumičce/skřipeček 1 copánek,Complimentary,2,5,0,2
Extra,Salty Snacks,4,5,0,3
Espresso na ledu,Non-Alcoholic,5,5,0,4
Copánky,Complimentary,5,5,0,4
Pitíčko,Complimentary,4,5,0,4
Espresso lungo,Non-Alcoholic,4,4,0,4
Masoňky kuř.kousky 75g,Complimentary,4,4,0,4
Pletení bez kanekalonu - 10 minut,Complimentary,2,4,0,2
Latte Macchiato,Non-Alcoholic,4,4,0,4
Hov.tyčinky 85g,Complimentary,3,4,0,3
Vysoký culík ze 2 copů,Complimentary,4,4,0,4
Sladké,Sweet Snacks,3,4,0,2
Shisha dark,,4,4,0,4
Třpytky na 1 stranu,Complimentary,2,4,0,2
Cappucino,Non-Alcoholic,3,3,0,3
Capri sun,Non-Alcoholic,3,3,0,3
Svítící brýle new,Complimentary,3,3,0,3
Vysoký culík z 6 copů,Complimentary,3,3,0,3
APA 12,Beer,3,3,0,3
Klobásky 2ks,Complimentary,1,3,0,1
Svítící náhrdelník,Complimentary,3,3,0,3
brýle,Complimentary,2,3,0,2
Tlapičky 80g,Complimentary,3,3,0,3
Tetování střední,Complimentary,3,3,0,3
podsedák,Complimentary,3,3,0,2
Vídeň,Non-Alcoholic,2,2,0,2
"Sluneční brýle 150,-",Complimentary,2,2,0,1
Polštářky kuř+sýr,Complimentary,2,2,0,2
Polštářky antihairball,Complimentary,2,2,0,2
Tetování velké,Complimentary,2,2,0,2
Tykadlo,Complimentary,1,2,0,1
Třpytky do pěšinky,Complimentary,2,2,0,2
Vysoký culík ze 4 copů,Complimentary,2,2,0,2
Mlsoňky 60g,Complimentary,2,2,0,2
Žvýk.plátky 60g,Complimentary,2,2,0,2
Krabice malá,Complimentary,2,2,0,2
Kolag.tyčinky 75g,Complimentary,2,2,0,2
Chailatté,Non-Alcoholic,2,2,0,2
Double,,2,2,0,2
Flat White,Non-Alcoholic,2,2,0,2
Menu shisha light,,2,2,0,2
Křupčokoláda,Non-Alcoholic,2,2,0,2
shot navíc,Non-Alcoholic,2,2,0,2
Ledové Chai latte,Non-Alcoholic,2,2,0,2
Chobotnička z 6 copů,Complimentary,1,1,0,1
Kostičky 80g,Complimentary,1,1,0,1
šńůrka s karabinou,Complimentary,1,1,0,1
Kytičková čelenka,Complimentary,1,1,0,1
Menu shisha half,,1,1,0,1
Svítící čepice,Complimentary,1,1,0,1
Vlnky,Complimentary,1,1,0,1
Třpytky na 2 strany,Complimentary,1,1,0,1
Pamlskovač,Complimentary,1,1,0,1
Ponožky,Complimentary,1,1,0,1
Ručník,Complimentary,1,1,0,1
Stehýnka 80g,Complimentary,1,1,0,1
Taška,Complimentary,1,1,0,1
Batoh Play collection,Complimentary,1,1,0,1
