product_name,category,transaction_count,sales_count,refund_count,customer_count
Ledová káva,Nealko,22,22,0,21
alternativní mléko,Nealko,20,20,0,17
Triko,Doplňkový sortiment,19,19,0,19
čaj,Nealko,19,19,0,16
VIP -  Absolut Vodka + Juice,Ostatní alkohol,19,19,0,14
50 Kč,Doplňkový sortiment,19,19,0,19
VIP - redbull,Nealko,18,18,0,14
Hot dog CHILLI,Slané,18,18,0,18
Milkshake,Nealko,18,18,0,16
VIP - Ron de Azur,Ostatní alkohol,17,17,0,11
Klobouk,Doplňkový sortiment,16,16,0,15
VIP - Havana 3 Y.O.,Ostatní alkohol,16,16,0,12
Omáčka navíc,,16,16,0,16
Jack Daniel´s a Cola plech,,16,16,0,5
Triko Play collection,Doplňkový sortiment,14,14,0,13
"ICE-TEA 0,5l",,14,14,0,10
Placka,Doplňkový sortiment,14,14,0,14
VIP - Absolut vodka + redbull,Ostatní alkohol,13,13,0,10
VIP - Mimosa,Ostatní alkohol,12,12,0,9
Doner,,12,12,0,11
Čokoláda,Nealko,12,12,0,11
Sluneční brýle,Doplňkový sortiment,12,12,0,12
"Gentleman Jack 0,04l",Ostatní alkohol,12,11,1,8
Kuřecí v žemli,Slané,11,11,0,11
Křupačíno,Nealko,11,11,0,11
Havajský věnec,Doplňkový sortiment,11,11,0,11
Kamínky 1ks,Doplňkový sortiment,10,10,0,10
Sada kamínků,Doplňkový sortiment,10,10,0,10
Turek,Nealko,10,10,0,9
Nafukovací kytara,Doplňkový sortiment,10,10,0,10
"Jack Daniel's Single barrel 0,04l",Ostatní alkohol,9,8,1,4
Baseballová čepice,Doplňkový sortiment,9,9,0,9
Boxerské copánky ze 2 copů,Doplňkový sortiment,9,9,0,9
Masoňky kach.prsa 75g,Doplňkový sortiment,9,9,0,9
Latte,Nealko,9,9,0,8
"Láhvové víno 0,75 l",Víno,9,9,0,3
Trhané na salátu,Slané,9,9,0,9
Espresso Macchiatto,Nealko,8,8,0,8
Křuplatté,Nealko,8,8,0,8
Cokoliv,,8,8,0,8
Křupespresso,Nealko,7,7,0,7
Krabice velká,Doplňkový sortiment,7,7,0,7
Jack Daniel's + Soda,Ostatní alkohol,7,7,0,7
"Sluneční brýle 200,-",Doplňkový sortiment,7,7,0,7
přídavek,Nealko,7,7,0,7
Tetování malé,Doplňkový sortiment,6,6,0,4
"Prosecco 0,1l",,6,6,0,6
Kolag.kostičky 60g,Doplňkový sortiment,6,6,0,5
Mikina,Doplňkový sortiment,6,6,0,6
VIP - Jagermeister + cola,Ostatní alkohol,6,6,0,3
Kuřecí na salátu,Slané,6,6,0,6
Copánky,Doplňkový sortiment,5,5,0,4
Tetování,Doplňkový sortiment,5,5,0,5
Mlíko - Prazdroj,Pivo,5,5,0,4
Durum,,5,5,0,5
Multifunkční šátek,Doplňkový sortiment,5,5,0,4
Kolag.klobásky 3ks,Doplňkový sortiment,5,5,0,5
"Bellini 0,15l",Víno,5,5,0,5
Rasta copánek 1ks,Doplňkový sortiment,5,5,0,5
VIP - Beefeater dle nabídky,Ostatní alkohol,5,5,0,4
Espresso na ledu,Nealko,5,5,0,4
Ice Latté Macchiato,Nealko,5,5,0,5
Extra,Slané,4,4,0,3
Vysoký culík ze 2 copů,Doplňkový sortiment,4,4,0,4
Latte Macchiato,Nealko,4,4,0,4
Masoňky kuř.kousky 75g,Doplňkový sortiment,4,4,0,4
Churros přímé,,4,0,0,4
Chai Latte,Nealko,4,4,0,4
Shisha dark,,4,4,0,4
Pitíčko,Doplňkový sortiment,4,4,0,4
Espresso lungo,Nealko,4,4,0,4
Tetování střední,Doplňkový sortiment,3,3,0,3
Sladké,Sladké,3,3,0,2
Svítící brýle new,Doplňkový sortiment,3,3,0,3
Svítící náhrdelník,Doplňkový sortiment,3,3,0,3
Tlapičky 80g,Doplňkový sortiment,3,3,0,3
Hov.tyčinky 85g,Doplňkový sortiment,3,3,0,3
Vysoký culík z 6 copů,Doplňkový sortiment,3,3,0,3
Copánek z vlastních vlasů,Doplňkový sortiment,3,3,0,3
Capri sun,Nealko,3,3,0,3
Cappucino,Nealko,3,3,0,3
podsedák,Doplňkový sortiment,3,3,0,2
APA 12,Pivo,3,3,0,3
Flat White,Nealko,2,2,0,2
Vysoký culík ze 4 copů,Doplňkový sortiment,2,2,0,2
Křupčokoláda,Nealko,2,2,0,2
Copánek na gumičce/skřipeček 1 copánek,Doplňkový sortiment,2,2,0,2
Ledové Chai latte,Nealko,2,2,0,2
Chailatté,Nealko,2,2,0,2
Menu shisha light,,2,2,0,2
Polštářky kuř+sýr,Doplňkový sortiment,2,2,0,2
"Sluneční brýle 150,-",Doplňkový sortiment,2,2,0,1
brýle,Doplňkový sortiment,2,2,0,2
Mlsoňky 60g,Doplňkový sortiment,2,2,0,2
Žvýk.plátky 60g,Doplňkový sortiment,2,2,0,2
shot navíc,Nealko,2,2,0,2
Pletení bez kanekalonu - 10 minut,Doplňkový sortiment,2,2,0,2
Třpytky na 1 stranu,Doplňkový sortiment,2,2,0,2
Třpytky do pěšinky,Doplňkový sortiment,2,2,0,2
Kolag.tyčinky 75g,Doplňkový sortiment,2,2,0,2
Krabice malá,Doplňkový sortiment,2,2,0,2
Tetování velké,Doplňkový sortiment,2,2,0,2
Vídeň,Nealko,2,2,0,2
Double,,2,2,0,2
Polštářky antihairball,Doplňkový sortiment,2,2,0,2
Kostičky 80g,Doplňkový sortiment,1,1,0,1
Menu shisha half,,1,1,0,1
Chobotnička z 6 copů,Doplňkový sortiment,1,1,0,1
Tykadlo,Doplňkový sortiment,1,1,0,1
Taška,Doplňkový sortiment,1,1,0,1
Kytičková čelenka,Doplňkový sortiment,1,1,0,1
Vlnky,Doplňkový sortiment,1,1,0,1
Ručník,Doplňkový sortiment,1,1,0,1
Svítící čepice,Doplňkový sortiment,1,1,0,1
Pamlskovač,Doplňkový sortiment,1,1,0,1
Stehýnka 80g,Doplňkový sortiment,1,1,0,1
Třpytky na 2 strany,Doplňkový sortiment,1,1,0,1
Batoh Play collection,Doplňkový sortiment,1,1,0,1
šńůrka s karabinou,Doplňkový sortiment,1,1,0,1
Ponožky,Doplňkový sortiment,1,1,0,1
Klobásky 2ks,Doplňkový sortiment,1,1,0,1
